"fdc_id","data_type","description","food_category_id","publication_date"
"2340976","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water","","2022-10-28"
"2340977","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water","","2022-10-28"
"2340978","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water","","2022-10-28"
"2340979","survey_fndds_food","Infant formula, store brand, soy","","2022-10-28"
"2340980","survey_fndds_food","Infant formula, Enfamil Nutramigen, ready-to-feed","","2022-10-28"
"2340981","survey_fndds_food","Infant formula, Enfamil Nutramigen, powder, made with water","","2022-10-28"
"2340982","survey_fndds_food","Infant formula, Enfamil Pregestimil, ready-to-feed","","2022-10-28"
"2340983","survey_fndds_food","Infant formula, Enfamil Pregestimil, powder, made with water","","2022-10-28"
"2340984","survey_fndds_food","Infant formula, amino acids","","2022-10-28"
"2340985","survey_fndds_food","Infant formula, low iron","","2022-10-28"
"2340986","survey_fndds_food","Milk, dry, not reconstituted, NS as to fat content","","2022-10-28"
"2340987","survey_fndds_food","Milk, dry, not reconstituted, fat free (skim)","","2022-10-28"
"2340988","survey_fndds_food","Whey, sweet, dry","","2022-10-28"
"2340989","survey_fndds_food","Cocoa powder, not reconstituted","","2022-10-28"
"2340990","survey_fndds_food","Chocolate beverage powder, dry mix, not reconstituted","","2022-10-28"
"2340991","survey_fndds_food","Chocolate beverage powder, light, dry mix, not reconstituted","","2022-10-28"
"2340992","survey_fndds_food","Milk, malted, dry mix, not reconstituted","","2022-10-28"
"2340993","survey_fndds_food","Strawberry beverage powder, dry mix, not reconstituted","","2022-10-28"
"2340994","survey_fndds_food","Cream, NS as to light, heavy, or half and half","","2022-10-28"
"2340995","survey_fndds_food","Cream, light","","2022-10-28"
"2340996","survey_fndds_food","Cream, half and half","","2022-10-28"
"2340997","survey_fndds_food","Cream, half and half, flavored","","2022-10-28"
"2340998","survey_fndds_food","Cream, half and half, fat free","","2022-10-28"
"2340999","survey_fndds_food","Cream, heavy","","2022-10-28"
"2341000","survey_fndds_food","Cream, whipped","","2022-10-28"
"2341001","survey_fndds_food","Coffee creamer, NFS","","2022-10-28"
"2341002","survey_fndds_food","Coffee creamer, liquid","","2022-10-28"
"2341003","survey_fndds_food","Coffee creamer, liquid, flavored","","2022-10-28"
"2341004","survey_fndds_food","Coffee creamer, liquid, fat free","","2022-10-28"
"2341005","survey_fndds_food","Coffee creamer, liquid, fat free, flavored","","2022-10-28"
"2341006","survey_fndds_food","Coffee creamer, liquid, fat free, sugar free, flavored","","2022-10-28"
"2341007","survey_fndds_food","Coffee creamer, liquid, sugar free, flavored","","2022-10-28"
"2341008","survey_fndds_food","Coffee creamer, powder","","2022-10-28"
"2341009","survey_fndds_food","Coffee creamer, powder, flavored","","2022-10-28"
"2341010","survey_fndds_food","Coffee creamer, powder, fat free","","2022-10-28"
"2341011","survey_fndds_food","Coffee creamer,powder, fat free, flavored","","2022-10-28"
"2341012","survey_fndds_food","Coffee creamer,powder, sugar free, flavored","","2022-10-28"
"2341013","survey_fndds_food","Coffee creamer, soy, liquid","","2022-10-28"
"2341014","survey_fndds_food","Whipped topping","","2022-10-28"
"2341015","survey_fndds_food","Whipped topping, fat free","","2022-10-28"
"2341016","survey_fndds_food","Whipped topping, sugar free","","2022-10-28"
"2341017","survey_fndds_food","Sour cream, regular","","2022-10-28"
"2341018","survey_fndds_food","Sour cream, light","","2022-10-28"
"2341019","survey_fndds_food","Sour cream, fat free","","2022-10-28"
"2341020","survey_fndds_food","Sour cream, imitation","","2022-10-28"
"2341021","survey_fndds_food","Dip, NFS","","2022-10-28"
"2341022","survey_fndds_food","Chipotle dip, regular","","2022-10-28"
"2341023","survey_fndds_food","Chipotle dip, light","","2022-10-28"
"2341024","survey_fndds_food","Onion dip, regular","","2022-10-28"
